trade,plain_pos_gini,basic_posr_gini,multidim_posr_gini
100,0.228,0.326,0.24
200,0.207,0.26,0.225
300,0.1613,0.2553,0.244
400,0.167,0.2105,0.229
500,0.1532,0.2188,0.2164
600,0.1523,0.2153,0.2123
700,0.158,0.2234,0.2151
800,0.1583,0.21,0.213
900,0.1522,0.2007,0.2196
1000,0.148,0.2038,0.219
1100,0.1467,0.2036,0.2195
1200,0.1453,0.1993,0.2232
1300,0.1449,0.2077,0.2172
1400,0.1374,0.2017,0.2134
1500,0.1411,0.2029,0.2161
1600,0.1386,0.2044,0.2159
1700,0.1361,0.2033,0.2146
1800,0.1338,0.2019,0.2139
1900,0.1335,0.1975,0.2142
2000,0.133,0.1979,0.2094
2100,0.1359,0.1967,0.212
2200,0.132,0.1925,0.2126
2300,0.1287,0.1948,0.2106
2400,0.1293,0.1943,0.2087
2500,0.1289,0.1949,0.2093
2600,0.13,0.194,0.2103
2700,0.1339,0.1933,0.2094
2800,0.1301,0.193,0.2089
2900,0.1299,0.192,0.2102
3000,0.1291,0.193,0.2104
3100,0.1316,0.1908,0.2113
3200,0.1283,0.1898,0.2131
3300,0.1287,0.1886,0.2101
3400,0.1266,0.1886,0.2112
3500,0.1275,0.1869,0.2131
3600,0.1271,0.1859,0.2143
3700,0.1271,0.1861,0.2157
3800,0.1277,0.185,0.2162
3900,0.1284,0.1868,0.216
4000,0.126,0.1885,0.2162
4100,0.1256,0.1877,0.2153
4200,0.1291,0.188,0.2162
4300,0.1271,0.1862,0.2161
4400,0.1275,0.1879,0.2166
4500,0.129,0.1878,0.2167
4600,0.1273,0.1869,0.2165
4700,0.1279,0.1863,0.2149
4800,0.127,0.1861,0.2156
4900,0.128,0.1853,0.2146
5000,0.1287,0.1863,0.2144
5100,0.1279,0.1855,0.2138
5200,0.1287,0.1831,0.2129
5300,0.129,0.1838,0.2135
5400,0.1281,0.1841,0.2137
5500,0.1262,0.1841,0.2131
5600,0.1244,0.1836,0.2133
5700,0.1223,0.1838,0.2129
5800,0.1221,0.1832,0.213
5900,0.1222,0.1828,0.2126
6000,0.1215,0.1813,0.2126
6100,0.1213,0.1811,0.2105
6200,0.1203,0.1817,0.2092
6300,0.1199,0.1815,0.2099
6400,0.1211,0.1817,0.2109
6500,0.1204,0.182,0.2112
6600,0.1207,0.182,0.2095
6700,0.1208,0.1813,0.2102
6800,0.1215,0.1824,0.2109
6900,0.1217,0.1819,0.2101
7000,0.1214,0.1817,0.21
7100,0.1219,0.1822,0.2092
7200,0.1219,0.1818,0.2086
7300,0.1213,0.1813,0.2084
7400,0.1219,0.1805,0.2075
7500,0.1218,0.1801,0.2071
7600,0.1217,0.18,0.2065
7700,0.1218,0.1802,0.2065
7800,0.1223,0.1795,0.2054
7900,0.1222,0.1801,0.2052
8000,0.1217,0.18,0.2058
8100,0.1219,0.1797,0.2057
8200,0.1218,0.1791,0.2051
8300,0.1222,0.1792,0.2052
8400,0.1237,0.1794,0.2052
8500,0.1245,0.1798,0.2041
8600,0.1239,0.1799,0.2039
8700,0.1246,0.1793,0.2041
8800,0.1247,0.1793,0.205
8900,0.1252,0.1801,0.2052
9000,0.126,0.1798,0.2054
9100,0.1261,0.1792,0.2055
9200,0.1254,0.1786,0.2051
9300,0.1252,0.1792,0.2049
9400,0.1255,0.1791,0.2048
9500,0.125,0.1792,0.2046
9600,0.1234,0.1791,0.2042
9700,0.1237,0.179,0.2044
9800,0.1237,0.1793,0.2034
9900,0.1228,0.1787,0.2034
10000,0.1229,0.1787,0.2032
